Date,Campaign Name,Adset Name,Ad Name,CPM (Cost per 1000 Impressions),Action Leads,Cost Per Action Leads,CPC (Cost per Click),"Spend (Cost, Amount Spent)",Daily Budget,CTR (Clickthrough Rate)
2026-05-01,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"21,52",0,0,"1,614","24,21",21,"1,333333"
2026-05-01,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,**07 TH VIDEO - ADV+ | ABERTO 17/04,AD07 TH,"54,473479",0,0,"5,172963","139,67",200,"1,053042"
2026-05-02,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"12,722222",0,0,"0,590968","18,32",21,"2,152778"
2026-05-02,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,**07 TH VIDEO - ADV+ | ABERTO 17/04,AD07 TH,"53,244313",0,0,"5,981111","161,49",200,"0,890208"
2026-05-03,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"15,135135",0,0,"1,208421","22,96",21,"1,252472"
2026-05-03,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,**07 TH VIDEO - ADV+ | ABERTO 17/04,AD07 TH,"64,124664",0,0,"5,37525","215,01",200,"1,192962"
2026-05-03,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 IMG - ADV+ | ABERTO 03/05,AD01 IMG,"93,867521",0,0,"3,82","87,86",100,"2,457265"
2026-05-04,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"12,751464",0,0,"0,665556","23,96",21,"1,915913"
2026-05-04,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,**07 TH VIDEO - ADV+ | ABERTO 17/04,AD07 TH,"48,067187",0,0,"5,975882","203,18",200,"0,804353"
2026-05-04,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 IMG - ADV+ | ABERTO 03/05,AD01 IMG,"71,272855",0,0,"5,334211","101,35",100,"1,336146"
2026-05-05,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"12,41358",0,0,"0,628438","20,11",21,"1,975309"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,**07 TH VIDEO - ADV+ | ABERTO 17/04,AD07 TH,"67,756563",0,0,"4,731667","56,78",200,"1,431981"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 IMG - ADV+ | ABERTO 03/05,AD01 IMG,"60,604333",0,0,"2,872973","106,3",100,"2,109464"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 VIDEO - ADV+ | ABERTO 05/05,AD01,"108,27907",0,0,"7,76","46,56",50,"1,395349"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 VIDEO - ADV+ | ABERTO 05/05,AD02,"87,679671",0,0,"7,116667","42,7",50,"1,232033"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 VIDEO - ADV+ | ABERTO 05/05,AD03,"135,324324",0,0,"12,5175","50,07",50,"1,081081"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 VIDEO - ADV+ | ABERTO 05/05,AD04,"148,010076",0,0,"19,586667","58,76",50,"0,755668"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,05 VIDEO - ADV+ | ABERTO 05/05,AD05,"120,921348",0,0,"26,905","53,81",50,"0,449438"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,06 VIDEO - ADV+ | ABERTO 05/05,AD06,"109,97549",0,0,"8,974","44,87",50,"1,22549"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 VIDEO - ADV+ | ABERTO 05/05,AD07,"128,089005",0,0,"16,31","48,93",50,"0,78534"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,08 VIDEO - ADV+ | ABERTO 05/05,AD08,"143,428571",0,0,"25,1","50,2",50,"0,571429"
2026-05-05,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,09 VIDEO - ADV+ | ABERTO 05/05,AD09,"107,377451",0,0,"8,762","43,81",50,"1,22549"
2026-05-06,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"16,511438",0,0,"0,777308","20,21",21,"2,124183"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 IMG - ADV+ | ABERTO 03/05,AD01 IMG,"61,79669",0,0,"2,904444","26,14",100,"2,12766"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 IMG - ADV+ | ABERTO 06/05,AD01 IMG,"89,041096",0,0,"6,5",13,50,"1,369863"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 VIDEO - ADV+ | ABERTO 05/05,AD01,"140,46875",0,0,"10,788","53,94",50,"1,302083"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 VIDEO - ADV+ | ABERTO 06/05,AD01,"83,770492",0,0,"10,22","10,22",50,"0,819672"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 IMG - ADV+ | ABERTO 06/05,AD02 IMG,130,0,0,"7,865","15,73",126,"1,652893"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 VIDEO - ADV+ | ABERTO 05/05,AD02,"122,84188",0,0,"8,212857","57,49",50,"1,495727"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 VIDEO - ADV+ | ABERTO 05/05,AD03,"165,786164",0,0,"5,272","52,72",50,"3,144654"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 - ADV+ | ABERTO 06/05,AD4 - Assessoria para dobrar as vendas,"206,75",0,0,"5,513333","16,54",50,"3,75"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 TH VIDEO - ADV+ | ABERTO 06/05,AD04 TH,"81,351351",0,0,"3,01","9,03",50,"2,702703"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 VIDEO - ADV+ | ABERTO 05/05,AD04,"294,117647",0,0,35,35,50,"0,840336"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 VIDEO - ADV+ | ABERTO 06/05,AD04,"95,090909",0,0,0,"10,46",50,0
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,05 VIDEO - ADV+ | ABERTO 05/05,AD05,"155,591398",0,0,"14,47","28,94",50,"1,075269"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,06 VIDEO - ADV+ | ABERTO 05/05,AD06,"185,362903",0,0,"11,4925","45,97",50,"1,612903"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 VIDEO - ADV+ | ABERTO 05/05,AD07,"240,774648",0,0,"34,19","34,19",50,"0,704225"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 VIDEO - ADV+ | ABERTO 06/05,AD07,"143,695652",0,0,0,"13,22",50,0
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,08 VIDEO - ADV+ | ABERTO 05/05,AD08,"204,071146",0,0,"17,21","51,63",50,"1,185771"
2026-05-06,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,08 VIDEO - ADV+ | ABERTO 06/05,AD08,"116,210526",0,0,"11,04","11,04",50,"1,052632"
